npcId,situation,day,role,nodeKey,label_en,label_ko,expression,text_en,text_ko,goto,outcome
2,Reception,0,Greeting,,,,Neutral,"Two nights. Maybe three. I'll know more tomorrow. Probably.","이틀이요. 사흘일 수도 있고요. 내일이면 확실해질 겁니다. 아마도요.",,
2,Reception,0,Greeting,,,,Neutral,"Long day. Very long. You have no idea.","긴 하루였습니다. 아주 길었어요. 말도 마세요.",,
2,Reception,0,Greeting,,,,Neutral,"Oh - and could someone tidy the room in the mornings? Just... leave the case where it is.","아, 그리고 - 아침에 방 좀 정리해 주실 수 있을까요? 가방은... 그냥 그 자리에 두시고요.",,
2,Reception,0,Question,case,Ask about his suitcase,가방에 대해 묻는다,Neutral,"Samples! Brushes mostly. Nothing you'd want. Nothing at all.","판매용 견본이에요! 대부분 청소솔이고요. 탐나실 물건은 없습니다. 정말 아무것도요.",,
2,Reception,0,Question,shaking,Ask why he's shaking,왜 떨고 있는지 묻는다,Neutral,"Cold out. That's all. Just the cold.","밖이 추워서 그래요. 그게 다예요. 그냥 추위 탓입니다.",,
2,Reception,0,Question,shaking,Let it go,넘어간다,,,,,
2,Reception,0,Question,shaking,Press him,추궁한다,,,,shaking_press,
2,Reception,0,Node,shaking_press,,,Angry,"I said it's the cold! Are we done here?","추위 때문이라고 했잖아요! 이제 됐습니까?",,
2,Reception,0,Question,stay,Ask how long he's staying,며칠이나 있을 건지 묻는다,Neutral,"Two. Definitely two. ...Unless the roads stay bad. Then three. Four at the very most.","이틀이요. 확실히 이틀입니다. ...길 사정이 계속 안 좋으면 사흘. 길어야 나흘이고요.",,
2,Reception,0,Question,stay,Ask for payment up front,선불로 받겠다고 한다,,,,stay_pay_refused,
2,Reception,0,Question,stay,Say he can settle later,떠날 때 정산하자고 한다,,,,stay_later,
2,Reception,0,Node,stay_pay_refused,,,Neutral,"Up front? I - not now. Please. When I leave. You'll have all of it, I promise.","선불이요? 저 - 지금은 좀. 제발요. 나갈 때요. 전부 다 드릴게요, 약속합니다.",,
2,Reception,0,Node,stay_later,,,Neutral,"When I leave. Good. Better. Much better, actually.","나갈 때요. 좋습니다. 그게 낫죠. 훨씬 낫네요.",,
2,Reception,0,Question,clean,Ask about housekeeping,하우스키핑을 어떻게 할지 묻는다,Neutral,"Mornings would be best. I'm usually out by then. Usually.","아침이 제일 좋아요. 그땐 보통 나가 있으니까요. 보통은요.",,
2,Reception,0,Question,clean,Clean every morning,매일 아침 청소한다,,,,clean_yes,
2,Reception,0,Question,clean,Leave the room alone,방은 건드리지 않는다,,,,clean_no,
2,Reception,0,Node,clean_yes,,,Neutral,"Thank you. Just - the samples. Don't move the samples.","고맙습니다. 그냥 - 견본만요. 견본은 옮기지 말아 주세요.",,
2,Reception,0,Node,clean_no,,,Neutral,"...Actually, yes. Better. I'll manage it myself.","...사실, 네. 그게 낫겠어요. 제가 알아서 하죠.",,
2,Reception,0,Question,reject,Turn them away,돌려보낸다,Neutral,"No? Please. I can pay double. Double, for one room.","안 된다고요? 제발요. 두 배로 내겠습니다. 방 하나에 두 배로요.",,
2,Reception,0,Question,reject,,,Neutral,"Where else is open? Nowhere. You know that.","다른 데가 어디 열었겠어요? 없어요. 아시잖아요.",,
2,Reception,0,Question,reject,Hold firm,그래도 거절한다,,,,reject_final,
2,Reception,0,Question,reject,Take the double,두 배를 받고 들인다,,,,reject_double_accept,
2,Reception,0,Question,reject,Let him stay,그냥 받아준다,,,,,
2,Reception,0,Node,reject_double_accept,,,Neutral,"Double. Yes. Thank you - thank you. Here - take it.","두 배요. 네. 감사합니다 - 감사합니다. 여기 - 받으세요.",,
2,Reception,0,Node,reject_final,,,Angry,"This is a mistake. You'll see.","이건 실수예요. 두고 보세요.",,
2,Reception,0,Node,reject_final,,,Neutral,"Fine. FINE. I'm going.","알았어요. 알았다고요. 갑니다.",,Rejected
2,Reception,0,Node,checkin,,,Neutral,"Oh thank you. You won't even know I'm here.","아, 감사합니다. 있는 줄도 모르실 거예요.",,
2,Dawn,0,Greeting,,,,Neutral,"Wh- who is it? It's the middle of the night.","누, 누구세요? 지금 한밤중인데요.",,
2,Dawn,0,Greeting,,,,Neutral,"...Oh. It's you. I didn't do anything. I've been in my room the whole time.","...아. 당신이군요. 저 아무것도 안 했어요. 계속 방에만 있었어요.",,
2,Dawn,0,Question,noise,Ask about the noise last night,간밤의 소음에 대해 묻는다,Neutral,"Noise? No. I didn't hear anything. I was asleep. Mostly.","소음이요? 아니요. 아무것도 못 들었어요. 자고 있었어요. 거의요.",,
2,Dawn,0,Question,night,Ask what he did all night,밤새 뭘 했는지 묻는다,Neutral,"Packing. Repacking. The samples have to sit a certain way, or they- it doesn't matter. Why?","짐 싸고. 다시 싸고. 견본은 딱 맞게 넣어야 안 그러면- 아무튼요. 왜요?",,
2,Dawn,0,Question,seen,Ask if he saw anything,이상한 걸 못 봤는지 묻는다,Angry,"Through what window? The curtains stayed shut. They stay shut. Are we done here?","무슨 창문으로요? 커튼은 계속 쳐놨어요. 계속요. 이제 됐죠?",,
3,Reception,0,Greeting,,,,Neutral,"You run this place? Hm. Explains the smell.","여기 주인이 당신이야? 흠. 어쩐지 냄새가 나더라.",,
3,Reception,0,Greeting,,,,Neutral,"A room. And be quick about it - I've wasted enough of my night on this road.","방 하나. 빨리빨리 해 - 이 길바닥에서 밤새 시간 버렸으니까.",,
3,Reception,0,Greeting,,,,Angry,"And nobody sets foot in my room. No maid, not you. Understood?","그리고 내 방엔 아무도 발 들이지 마. 청소부도, 너도. 알아들었어?",,
3,Reception,0,Question,wait,Ask him to wait a moment,잠시 기다려 달라고 한다,Angry,"Wait? You work here. I don't wait for the help.","기다려? 넌 여기 직원이잖아. 난 종업원 나부랭이 안 기다려.",,
3,Reception,0,Question,id,Ask for identification,신분증을 요구한다,Neutral,"Identification. In a place like this. That's almost funny.","신분증. 이딴 데서. 웃기지도 않는군.",,
3,Reception,0,Question,id,Insist on ID,신분증을 계속 요구한다,,,,id_show,
3,Reception,0,Question,id,Wave him through,그냥 들여보낸다,,,,,
3,Reception,0,Node,id_show,,,Angry,"...There. Take a good look. Try not to move your lips when you read it.","...자. 실컷 봐. 글 읽을 때 입술 좀 안 움직이면 좋겠는데.",,
3,Reception,0,Question,stay,Ask how many nights,며칠 묵을지 묻는다,Neutral,"Two nights. Maybe three. You'll find out when I tell you.","이틀. 사흘일 수도 있고. 내가 말해주면 그때 알겠지.",,
3,Reception,0,Question,stay,Demand payment up front,선불을 요구한다,,,,stay_pay,
3,Reception,0,Question,stay,Let it slide,그냥 넘어간다,,,,stay_skip,
3,Reception,0,Node,stay_pay,,,Angry,"Up front. From me. That's adorable. ...Fine. You'll get it. Now move.","선불. 나한테. 귀엽군. ...좋아. 주지. 빨리 움직이기나 해.",,
3,Reception,0,Node,stay_skip,,,Neutral,"Smart. You learn fast, for someone in your position.","똑똑하네. 그 주제에 눈치는 있고.",,
3,Reception,0,Question,clean,Ask about housekeeping,하우스키핑을 어떻게 할지 묻는다,Angry,"I said no. Are you slow? The door stays shut. I clean up after myself.","안 된다고 했잖아. 머리가 나빠? 문은 잠가 둬. 내 뒤치다꺼리는 내가 해.",,
3,Reception,0,Question,reject,Turn them away,돌려보낸다,Angry,"Excuse me?","뭐라고?",reject_insist,
3,Reception,0,Node,reject_insist,,,Angry,"You're turning ME away. From a roadside dump like this.","날 돌려보낸다고. 이딴 길가 쓰레기장에서.",,
3,Reception,0,Node,reject_insist,Stand your ground,물러서지 않는다,,,,reject_final,
3,Reception,0,Node,reject_insist,Back down,물러선다,,,,,
3,Reception,0,Node,reject_final,,,Angry,"You'll wish you hadn't. People like you always do.","후회하게 될 거야. 너 같은 것들은 꼭 그러더라.",,Rejected
3,Reception,0,Node,checkin,,,Neutral,"Finally. Try to be less useless tomorrow.","드디어. 내일은 좀 덜 굼뜨든가.",,
3,Reception,0,Node,checkin_paid,,,Angry,"There's your money. The whole stay, up front, since you had to make it weird.","돈 여기 있다. 숙박비 전액, 선불로. 꼭 유난을 떨어야 했으니까.",,
3,Reception,0,Node,checkin_paid,,,Neutral,"Finally. Try to be less useless tomorrow.","드디어. 내일은 좀 덜 굼뜨든가.",,
3,Dawn,0,Greeting,,,,Angry,"Do you have any idea what time it is? You're pounding on my door.","지금 몇 신 줄이나 알아? 내 방 문을 두드려대고 있잖아.",,
3,Dawn,0,Greeting,,,,Angry,"This had better be good.","용건이 대단해야 할 거야.",,
3,Dawn,0,Question,noise,Ask about the noise last night,간밤의 소음에 대해 묻는다,Angry,"The only noise in this dump is you. Right now. Deal with it yourself.","이 쓰레기장에서 시끄러운 건 너뿐이야. 지금 이 순간. 알아서 처리해.",,
3,Dawn,0,Question,night,Ask what he did all night,밤새 뭘 했는지 묻는다,Angry,"I slept. Or tried to. Hard to rest in a place that lets anyone wander the halls.","잤어. 자려고는 했지. 아무나 복도를 어슬렁대는 데서 잠이 오겠냐만.",,
3,Dawn,0,Question,halls,Ask who was in the halls,복도에 누가 있었는지 묻는다,Angry,"How would I know? I wasn't standing guard. That's supposed to be your job.","내가 어떻게 알아? 보초 서고 있던 것도 아니고. 그게 네 일 아니었냐.",,
4,Reception,0,Greeting,,,,Neutral,"A room. Away from the road if you have one.","방 하나요. 가능하면 길에서 먼 쪽으로요.",,
4,Reception,0,Greeting,,,,Neutral,"I don't know how many nights yet. Is that a problem?","며칠 묵을지는 아직 몰라요. 그게 문제가 되나요?",,
4,Reception,0,Greeting,,,,Neutral,"No housekeeping, please. I'll see to the room myself.","청소는 안 하셔도 돼요. 방은 제가 알아서 할게요.",,
4,Reception,0,Question,road,Ask why away from the road,왜 길에서 먼 쪽인지 묻는다,Neutral,"I sleep lighter than most.","제가 잠귀가 좀 밝은 편이라서요.",,
4,Reception,0,Question,alone,Ask if she's travelling alone,혼자 여행 중인지 묻는다,Neutral,"Is that a requirement?","그게 조건인가요?",,
4,Reception,0,Question,alone,Ask gently,부드럽게 묻는다,,,,alone_soft,
4,Reception,0,Question,alone,Ask straight,단도직입적으로 묻는다,,,,alone_hard,
4,Reception,0,Node,alone_soft,,,Neutral,"...Yes. Alone.","...네. 혼자예요.",,
4,Reception,0,Node,alone_hard,,,Angry,"That's my business. Not yours.","제 일이에요. 당신이 상관할 바 아니고요.",,
4,Reception,0,Question,stay,Ask how long she'll stay,며칠 있을 건지 묻는다,Neutral,"One night for certain. After that, I'll tell you each morning.","하룻밤은 확실해요. 그다음은 매일 아침에 말씀드릴게요.",,
4,Reception,0,Question,stay,Charge one night at a time,하루치씩만 받는다,,,,stay_ok,
4,Reception,0,Question,stay,Demand an exact date,정확한 날짜를 요구한다,,,,stay_press,
4,Reception,0,Node,stay_ok,,,Neutral,"Thank you. That's easier for both of us.","고마워요. 그게 서로 편하죠.",,
4,Reception,0,Node,stay_press,,,Angry,"I said I don't know. Pushing me won't change that.","모른다고 했잖아요. 몰아붙여도 소용없어요.",,
4,Reception,0,Question,clean,Ask about housekeeping,하우스키핑을 어떻게 할지 묻는다,Neutral,"I already told you. Leave the room to me.","이미 말씀드렸잖아요. 방은 저한테 맡기세요.",,
4,Reception,0,Question,reject,Turn them away,돌려보낸다,Neutral,"I see.","그렇군요.",reject_final,
4,Reception,0,Node,reject_final,,,Neutral,"I'll find somewhere. I always do.","어디든 찾겠죠. 늘 그래왔으니까.",,Rejected
4,Reception,0,Node,checkin,,,Neutral,"Good. Don't knock after dark.","좋아요. 어두워진 뒤엔 문 두드리지 마세요.",,
4,Dawn,0,Node,refuse,,,Neutral,"...I told you not to knock after dark. Go back. We'll talk in the morning.","...어두워지면 두드리지 말랬죠. 돌아가세요. 얘기는 아침에 하죠.",,
5,Reception,0,Greeting,,,,Neutral,"Evening evening! Cold one out there tonight isn't it?","반갑소, 반갑소! 오늘 밤 바깥이 꽤 춥구려.",,
5,Reception,0,Greeting,,,,Neutral,"Room for an old man's bones?","이 늙은 몸 뉠 방 하나 있겠소?",,
5,Reception,0,Greeting,,,,Neutral,"I'll be under your roof a week or so - these knees don't travel like they used to.","한 일주일쯤 신세 좀 지려 하오. 무릎이 예전 같질 않아서 말이오.",,
5,Reception,0,Greeting,,,,Neutral,"If it's no trouble - a quick tidy each morning would be a kindness. These hands don't do much anymore.","괜찮으시면 - 아침마다 잠깐 정리해 주시면 고맙겠소. 이 손이 예전 같질 않아서 말이오.",,
5,Reception,0,Question,trip,Ask about his journey,여정에 대해 묻는다,Neutral,"Oh it's a long story. Which part do you want?","아, 긴 이야기라오. 어느 대목이 궁금하시오?",,
5,Reception,0,Question,trip,The beginning,처음부터 듣는다,,,,trip_begin,
5,Reception,0,Question,trip,The short version,짧게 듣는다,,,,trip_short,
5,Reception,0,Question,trip,Skip it,그만 듣는다,,,,,
5,Reception,0,Node,trip_begin,,,Neutral,"It started forty years back in a town that isn't on the maps anymore...","사십 년 전, 이제는 지도에도 없는 마을에서 시작됐다오...",,
5,Reception,0,Node,trip_short,,,Neutral,"Visiting family. Or what's left of them.","가족을 보러 가는 길이오. 남은 사람이 얼마 없지만.",,
5,Reception,0,Question,weather,Ask about the weather,날씨에 대해 묻는다,Neutral,"Storm's coming. Mark my words. Sky goes green first.","폭풍이 오고 있소. 내 말 명심하시오. 하늘부터 초록빛으로 물든다오.",,
5,Reception,0,Question,stay,Ask how many nights,며칠이나 묵을지 묻는다,Neutral,"A week ought to do it. Though if that storm settles in - well, who's to say.","일주일이면 되지 싶소. 뭐, 그 폭풍이 눌러앉으면 - 글쎄, 모를 일이오만.",,
5,Reception,0,Question,stay,Book the whole week,일주일치를 한 번에 적는다,,,,stay_week,
5,Reception,0,Question,stay,Charge him day by day,하루씩 받겠다고 한다,,,,stay_daily,
5,Reception,0,Node,stay_week,,,Neutral,"Kind of you. Settles an old mind.","고맙구려. 늙은이 마음이 놓이는구려.",,
5,Reception,0,Node,stay_daily,,,Neutral,"That suits me fine. Day by day - that's about my speed now.","그것도 좋소. 하루하루 - 요즘 내 걸음걸이가 딱 그렇다오.",,
5,Reception,0,Question,need,Ask if he needs anything,필요한 게 있는지 묻는다,Neutral,"Kind of you to ask.","물어봐 주니 고맙구려.",,
5,Reception,0,Question,need,Offer an extra blanket,담요를 더 준다,,,,need_blanket,
5,Reception,0,Question,need,Offer a hot meal,따뜻한 식사를 권한다,,,,need_meal,
5,Reception,0,Question,need,Nothing for now,지금은 됐다고 한다,,,,,
5,Reception,0,Node,need_blanket,,,Neutral,"Bless you. These old knees will thank you.","고맙기도 하오. 이 늙은 무릎이 고마워할 게요.",,
5,Reception,0,Node,need_meal,,,Neutral,"I wouldn't say no to that.","그거라면 마다하지 않겠소.",,
5,Reception,0,Question,clean,Ask about housekeeping,하우스키핑을 어떻게 할지 묻는다,Neutral,"A look-in of a morning would do me fine. I keep to my chair mostly.","아침에 한 번 들여다봐 주면 되오. 난 거의 의자에만 앉아 있으니.",,
5,Reception,0,Question,clean,Tidy up every morning,매일 아침 정리한다,,,,clean_yes,
5,Reception,0,Question,clean,Only when he asks,부탁할 때만 한다,,,,clean_no,
5,Reception,0,Node,clean_yes,,,Neutral,"Bless you. An old man sleeps easier for it.","복 받으시오. 늙은이가 발 뻗고 자겠소.",,
5,Reception,0,Node,clean_no,,,Neutral,"As you like. I'll call out if I need a hand.","좋을 대로 하시오. 손이 필요하면 부르리다.",,
5,Reception,0,Question,reject,Turn them away,돌려보낸다,Neutral,"Oh. Oh dear. On a night like this?","이런. 저런. 이런 밤에 말이오?",reject_insist,
5,Reception,0,Node,reject_insist,,,Neutral,"I don't move so fast anymore. Have a heart.","이제 걸음도 느리다오. 좀 봐주시구려.",,
5,Reception,0,Node,reject_insist,Refuse,거절한다,,,,reject_final,
5,Reception,0,Node,reject_insist,Let him stay,묵게 한다,,,,,
5,Reception,0,Node,reject_final,,,Neutral,"...Alright. Sorry to have troubled you.","...알겠소. 귀찮게 해서 미안하오.",,Rejected
5,Reception,0,Node,checkin,,,Neutral,"Bless you son. Sleep well now.","복 받으시구려. 편히 주무시오.",,
5,Dawn,0,Greeting,,,,Neutral,"Mm? Goodness, at this hour? These old ears barely caught the knock.","음? 아이고, 이 시간에? 늙은 귀로는 노크 소리도 겨우 들었소.",,
5,Dawn,0,Greeting,,,,Neutral,"Come now. What is it, son?","자, 자. 무슨 일이오, 젊은이?",,
5,Dawn,0,Question,noise,Ask about the noise last night,간밤의 소음에 대해 묻는다,Neutral,"Heard it plain. Something scratching, past the wall. On and on. Told myself it was the wind.","똑똑히 들었소. 벽 너머에서 뭔가 긁는 소리. 계속, 계속. 바람이겠거니 했지만.",,
5,Dawn,0,Question,night,Ask what he did all night,밤새 뭘 했는지 묻는다,Neutral,"Up twice for the washroom - the knees, you know. The hall was empty both times. Dark as a well.","화장실 두 번 다녀왔소 - 무릎 때문에 말이오. 두 번 다 복도는 비어 있었고. 우물 속처럼 캄캄했소.",,
5,Dawn,0,Question,storm,Ask about the storm he mentioned,말했던 폭풍에 대해 묻는다,Neutral,"Look at the sky before you sleep. It's already turning. Green at the edges. It always starts that way.","자기 전에 하늘을 보시오. 벌써 변하고 있소. 가장자리부터 초록빛으로. 늘 그렇게 시작한다오.",,
